Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Corporate Trainer,You Tube,https://www.youtube.com/watch?v=ne8QLAC0hHU
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Politician,You Tube,https://www.youtube.com/watch?v=BlFQfmVJDCA
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Corporate Trainer,You Tube,https://www.youtube.com/watch?v=-ZwQtICNbRc
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Strategic Planning,You Tube,https://www.youtube.com/watch?v=iXzmAou_UUA
Soft Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Career Options,Great Sample Resume,,https://www.greatsampleresume.com/job-description/examples/training-development/corporate-trainer
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Police Officer,You Tube,https://www.youtube.com/watch?v=FVxxDgDlBok
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Head Chef,You Tube,https://www.youtube.com/watch?v=vl7pcmIYm50
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Natural Science Manager,You Tube,https://www.youtube.com/results?search_query=natural+science+manager+description
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Athlete,You Tube,https://www.youtube.com/watch?v=kj6wDFSAZ8U&pbjreload=101
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Consulting,You Tube,https://www.youtube.com/watch?v=NjMFVlRrzMw
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,CPA,You Tube,https://www.youtube.com/watch?v=6HoZQvOX9vY
Soft Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Career Options,Blue Arrow,,https://www.bluearrow.co.uk/featured-employers/working-with-sodexo/head-chef-job-description
Soft Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Career Options,LinkedIn,,https://business.linkedin.com/talent-solutions/resources/talent-engagement/job-descriptions/consultant 
Soft Skills,LOW,TODO_LEARNING_PERSONALITY,Analyze/Apply,Career Options,Accounting Edu,,https://www.accountingedu.org/tax-consultant/
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Government Accountant,You Tube,https://www.youtube.com/watch?v=NEbBSHp6Ao8
Soft Skills,LOW,Visual,TODO_BLOOM,Career Options,Risk Management,You Tube,https://www.youtube.com/watch?v=WqxiDtNXas0
